study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Roy_Royer_Hall_2014,Roy,"Roy, A.; Royer, A.; Hall, R. J.",2014,Relationship between forest microwave transmissivity and structural parameters for the Canadian boreal forest.,IEEE Geoscience and Remote Sensing Letters,article,https://doi.org/10.1109/LGRS.2014.2309941,https://ostrnrcan-dostrncan.canada.ca/entities/publication/4ab4e437-51df-47ff-ad95-b6c8c00c9df5,NRCan OSTR
Maynard_Hogg_Wass_etal_2014,Maynard,"Maynard, D. G.; Hogg, K. E.; Wass, E. F.; Curran, M. P.",2014,Soil displacement and compaction effects on conifer seedlings inSoutheast British Columbia: Study establishment.,NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/e97e7065-3fe9-4395-a31b-0e27071eee5a,NRCan OSTR
Wolfe_Stevens_Gaanderse_etal_2014,Wolfe,"Wolfe, S. A.; Stevens, C. W.; Gaanderse, A. J. R.; Oldenborger, G. A.",2014,"Lithalsa distribution, morphology and landscape associations in the Great Slave Lowland, Northwest Territories, Canada",Geomorphology,article,https://doi.org/10.1016/j.geomorph.2013.08.014,https://ostrnrcan-dostrncan.canada.ca/entities/publication/3b279e3f-81f0-4941-9709-898b12f72e7e,NRCan OSTR
Neigh_Nelson_Ranson_etal_2013,Neigh,"Neigh, C. S. R.; Nelson, R. F.; Ranson, K. J.; Margolis, H. A.; Montesano, P. M.; Sun, G.; Kharuk, V.; Næsset, E.; Wulder, M.; Andersen, H-E.",2013,"Taking stock of circumboreal forest carbon with ground measurements, airborne and spaceborne LiDAR.",Remote Sensing of Environment,article,https://doi.org/10.1016/j.rse.2013.06.019,https://ostrnrcan-dostrncan.canada.ca/entities/publication/9f05e2e0-6c09-432d-8df3-ec8a0db8839f,NRCan OSTR
Mengistu_Creed_Webster_etal_2013,Mengistu,"Mengistu, S. G.; Creed, I. F.; Webster, K. L.; Enanga, E.; Beall, F. D.",2013,"Searching for similarity in topographic controls on carbon,nitrogen and phopsphorus export from forest headwater catchments.",Hydrological Processes,article,https://doi.org/10.1002/hyp.9862,https://ostrnrcan-dostrncan.canada.ca/entities/publication/c283f66b-8dc7-4fcf-a7cb-fcd5bb1fb397,NRCan OSTR
Ahmed_Franklin_Wulder_2014,Ahmed,"Ahmed, O. S.; Franklin, S. E.; Wulder, M.",2014,Interpretation of forest disturbance using a time series of Landsat imagery and canopy structure from airborne lidar.,Canadian Journal of Remote Sensing,article,https://doi.org/10.5589/m14-004,https://ostrnrcan-dostrncan.canada.ca/entities/publication/bbcb3523-6e61-4f62-a6cf-98b678acf147,NRCan OSTR
Millard_Geertsema_Clague_etal_2012,Millard,"Millard, T.; Geertsema, M.; Clague, J. J.; Bobrowsky, P. T.; Hasler, A.; Sakals, M.",2012,Landslides on Haida Gwaii during and after the Earthquake,NA,article,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/c26fe86d-a099-4819-a053-bd3a3c46ad81,NRCan OSTR
Goodwin_2011,Goodwin,"Goodwin, T. A.",2011,Bedrock and surficial geology of the Maritime Provinces,NA,report,https://doi.org/10.4095/287939,https://ostrnrcan-dostrncan.canada.ca/entities/publication/aa545327-1491-4f8f-b9dd-cd171e4d759d,NRCan OSTR
Schroeder_Wulder_Healey_etal_2011,Schroeder,"Schroeder, T. A.; Wulder, M.; Healey, S. P.; Moisen, G. G.",2011,Mapping wildfire and clearcut harvest disturbances in boreal forests with Landsat time series data,Remote Sensing of Environment,article,https://doi.org/10.1016/j.rse.2011.01.022,https://ostrnrcan-dostrncan.canada.ca/entities/publication/1e894747-f6a4-4d1d-b09d-a4bcf367decc,NRCan OSTR
NA_2010,NA,NA,2010,Terrestrial Ecozones (forests),NA,map,https://doi.org/10.4095/300910,https://ostrnrcan-dostrncan.canada.ca/entities/publication/578646c7-730e-4dcd-8ff4-d68e42607523,NRCan OSTR
