study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Fernández‐González_Martínez‐Hidalgo_Cobo‐Díaz_etal_2017,Fernández‐González,Antonio J. Fernández‐González;Pilar Martínez‐Hidalgo;José F. Cobo‐Díaz;Pablo J. Villadas;Eustoquio Martínez‐Molina;Nicolás Toro;Susannah G. Tringe;Manuel Fernández‐López,2017,The rhizosphere microbiome of burned holm-oak: potential role of the genus Arthrobacter in the recovery of burned soils,Scientific Reports,article,https://doi.org/10.1038/s41598-017-06112-3,https://doi.org/10.1038/s41598-017-06112-3,OpenAlex
Laurin_Hawthorne_Chiti_etal_2016,Laurin,Gaia Vaglio Laurin;WD Hawthorne;Tommaso Chiti;Arianna Di Paola;Roberto Cazzolla Gatti;Sergio Marconi;Sergio Noce;Elisa Grieco;Francesco Pirotti;Riccardo Valentini,2016,Does degradation from selective logging and illegal activities differently impact forest resources? A case study in Ghana,iForest - Biogeosciences and Forestry,article,https://doi.org/10.3832/ifor1779-008,https://doi.org/10.3832/ifor1779-008,OpenAlex
Angelis_Freitas_Valeriano_etal_2002,Angelis,C. F. Angelis;Corina da Costa Freitas;D. M. Valeriano;Luciano Vieira Dutra,2002,Multitemporal analysis of land use/land cover JERS-1 backscatter in the Brazilian tropical rainforest,International Journal of Remote Sensing,article,https://doi.org/10.1080/01431160110092876,https://doi.org/10.1080/01431160110092876,OpenAlex
Ditzer_Glauner_Forster_etal_2000,Ditzer,T. Ditzer;R. Glauner;Marnie Forster;Peter Köhler;A. Huth,2000,The process-based stand growth model Formix 3-Q applied in a GIS environment for growth and yield analysis in a tropical rain forest,Tree Physiology,article,https://doi.org/10.1093/treephys/20.5-6.367,https://doi.org/10.1093/treephys/20.5-6.367,OpenAlex
Liu_Jafarov_Schaefer_etal_2014,Liu,Lin Liu;Elchin Jafarov;Kevin Schaefer;Benjamin Jones;H. A. Zebker;C. A. Williams;John Rogan;Tingjun Zhang,2014,InSAR detects increase in surface subsidence caused by an Arctic tundra fire,Geophysical Research Letters,article,https://doi.org/10.1002/2014gl060533,https://doi.org/10.1002/2014gl060533,OpenAlex
Maina_Raude_2016,Maina,Caroline W. Maina;James M. Raude,2016,"Assessing Land Suitability for Rainwater Harvesting Using Geospatial Techniques: A Case Study of Njoro Catchment, Kenya",Applied and Environmental Soil Science,article,https://doi.org/10.1155/2016/4676435,https://doi.org/10.1155/2016/4676435,OpenAlex
Jain_Saxena_Sharma_etal_2021,Jain,Madhavi Jain;Pallavi Saxena;Som Sharma;Saurabh Sonwani,2021,Investigation of Forest Fire Activity Changes Over the Central India Domain Using Satellite Observations During 2001–2020,GeoHealth,article,https://doi.org/10.1029/2021gh000528,https://doi.org/10.1029/2021gh000528,OpenAlex
Daza_Moreno_Portz_etal_2020,Daza,Diego Andrés Villate Daza;Hernando Sánchez Moreno;Luana Portz;Rogério Portantiolo Manzolli;Hernando José Bolívar-Anillo;Giorgio Anfuso,2020,Mangrove Forests Evolution and Threats in the Caribbean Sea of Colombia,Water,article,https://doi.org/10.3390/w12041113,https://doi.org/10.3390/w12041113,OpenAlex
G._2000,G.,José Ochoa G.,2000,Efectos de la Extracción de Maderas sobre la Diversidad de Mamíferos Pequeños en Bosques de Tierras Bajas de la Guayana Venezolana1,Biotropica,article,https://doi.org/10.1646/0006-3606(2000)032[0146:edlend]2.0.co;2,https://doi.org/10.1646/0006-3606(2000)032[0146:edlend]2.0.co;2,OpenAlex
Meir_Woodward_2010,Meir,Patrick Meir;F. I. Woodward,2010,Amazonian rain forests and drought: response and vulnerability,New Phytologist,editorial,https://doi.org/10.1111/j.1469-8137.2010.03390.x,https://doi.org/10.1111/j.1469-8137.2010.03390.x,OpenAlex
Parker_Boesch_Wooster_etal_2016,Parker,Robert J. Parker;Hartmut Boesch;Martin J. Wooster;D. P. Moore;Alex Webb;David Gaveau;Daniel Murdiyarso,2016,Atmospheric CH&amp;lt;sub&amp;gt;4&amp;lt;/sub&amp;gt; and CO&amp;lt;sub&amp;gt;2&amp;lt;/sub&amp;gt; enhancements and biomass burning emission ratios derived from satellite observations of the 2015 Indonesian fire plumes,Atmospheric chemistry and physics,article,https://doi.org/10.5194/acp-16-10111-2016,https://doi.org/10.5194/acp-16-10111-2016,OpenAlex
Streng_Harcombe_1982,Streng,Donna R. Streng;P. A. Harcombe,1982,Why Don't East Texas Savannas Grow Up to Forest?,The American Midland Naturalist,article,https://doi.org/10.2307/2425488,https://doi.org/10.2307/2425488,OpenAlex
Foster_Hall_Barry_etal_2002,Foster,David R. Foster;Brian Hall;Sylvia Barry;Susan L. Clayden;Tim Parshall,2002,"Cultural, environmental and historical controls of vegetation patterns and the modern conservation setting on the island of Martha's Vineyard, USA",Journal of Biogeography,article,https://doi.org/10.1046/j.1365-2699.2002.00761.x,https://doi.org/10.1046/j.1365-2699.2002.00761.x,OpenAlex
Park_Lee_Shin_2011,Park,Sang Deog Park;Kyu Song Lee;Seung Sook Shin,2011,Statistical Soil Erosion Model for Burnt Mountain Areas in Korea—RUSLE Approach,Journal of Hydrologic Engineering,article,https://doi.org/10.1061/(asce)he.1943-5584.0000441,https://doi.org/10.1061/(asce)he.1943-5584.0000441,OpenAlex
Hurteau_North_Koch_etal_2019,Hurteau,Matthew D. Hurteau;Malcolm P. North;George W. Koch;Bruce A. Hungate,2019,Managing for disturbance stabilizes forest carbon,Proceedings of the National Academy of Sciences,article,https://doi.org/10.1073/pnas.1905146116,https://doi.org/10.1073/pnas.1905146116,OpenAlex
Whitman_Parisien_Holsinger_etal_2020,Whitman,Ellen Whitman;Marc‐André Parisien;Lisa M. Holsinger;Jane Park;Sean A. Parks,2020,"A method for creating a burn severity atlas: an example from Alberta, Canada",International Journal of Wildland Fire,article,https://doi.org/10.1071/wf19177,https://doi.org/10.1071/wf19177,OpenAlex
Alves_Llovería_Pérez_etal_2018,Alves,Daniel Borini Alves;Raquel Montorio Llovería;Fernando Pérez;Lidia Vlassova,2018,Fusing Landsat and MODIS data to retrieve multispectral information from fire-affected areas over tropical savannah environments in the Brazilian Amazon,International Journal of Remote Sensing,article,https://doi.org/10.1080/01431161.2018.1479790,https://doi.org/10.1080/01431161.2018.1479790,OpenAlex
Shimabukuro_Dutra_Arai_etal_2020,Shimabukuro,Yosio Edemir Shimabukuro;Andeise Cerqueira Dutra;Egídio Arai;Valdete Duarte;Henrique Cassol;Gabriel Pereira;Francielle da Silva Cardozo,2020,Mapping Burned Areas of Mato Grosso State Brazilian Amazon Using Multisensor Datasets,Remote Sensing,article,https://doi.org/10.3390/rs12223827,https://doi.org/10.3390/rs12223827,OpenAlex
Figueiredo_Venticinque_Figueiredo_etal_2015,Figueiredo,Symone Maria de Melo Figueiredo;Eduardo Martins Venticinque;E. O. Figueiredo;Evandro José Linhares Ferreira,2015,"Predicting the distribution of forest tree species using topographic variables and vegetation index in eastern Acre, Brazil",Acta Amazonica,article,https://doi.org/10.1590/1809-4392201402834,https://doi.org/10.1590/1809-4392201402834,OpenAlex
Marden_Rowan_Phillips_2006,Marden,Michael Marden;Donna Rowan;Chris Phillips,2006,"Sediment sources and delivery following plantation harvesting in a weathered volcanic terrain, Coromandel Peninsula, North Island, New Zealand",Soil Research,article,https://doi.org/10.1071/sr05092,https://doi.org/10.1071/sr05092,OpenAlex
Monteiro_Souza_2012,Monteiro,Andr Monteiro;Carlos Souza,2012,Remote Monitoring for Forest Management in the Brazilian Amazon,InTech eBooks,book-chapter,https://doi.org/10.5772/30126,https://doi.org/10.5772/30126,OpenAlex
Attri_Dhiman_Sarvade_2020,Attri,Varun Attri;Rajeev Dhiman;S. Sarvade,2020,"A review on status, implications and recent trends of forest fire management",Archives of Agriculture and Environmental Science,review,https://doi.org/10.26832/24566632.2020.0504024,https://doi.org/10.26832/24566632.2020.0504024,OpenAlex
Gellis_Hupp_Pavich_etal_2009,Gellis,Allen C. Gellis;Cliff R. Hupp;Milan J. Pavich;Jurate M. Landwehr;William S.L. Banks;Bernard E. Hubbard;Michael J. Langland;Jerry C. Ritchie;Joanna M. Reuter,2009,"Sources, transport, and storage of sediment at selected sites in the Chesapeake Bay Watershed",Scientific investigations report,article,https://doi.org/10.3133/sir20085186,https://doi.org/10.3133/sir20085186,OpenAlex
Massman_Frank_2004,Massman,W. J. Massman;J. M. Frank,2004,Effect of a controlled burn on the thermophysical properties of a dry soil using a new model of soil heat flow and a new high temperature heat flux sensor,International Journal of Wildland Fire,article,https://doi.org/10.1071/wf04018,https://doi.org/10.1071/wf04018,OpenAlex
Ndayisaba_Guo_Bao_etal_2016,Ndayisaba,Felix Ndayisaba;Hao Guo;Anming Bao;Hui Guo;Fidele Karamage;Alphonse Kayiranga,2016,Understanding the Spatial Temporal Vegetation Dynamics in Rwanda,Remote Sensing,article,https://doi.org/10.3390/rs8020129,https://doi.org/10.3390/rs8020129,OpenAlex
Gandaseca_Sabang_Ahmed_etal_2009,Gandaseca,Seca Gandaseca;John Sabang;Osumanu Haruna Ahmed;Nik Muhamad Ab. Majid,2009,Vegetation Assessment of Peat Swamp Forest Using Remote Sensing,American Journal of Agricultural and Biological Sciences,article,https://doi.org/10.3844/ajabssp.2009.167.172,https://doi.org/10.3844/ajabssp.2009.167.172,OpenAlex
Renó_Novo_Escada_2016,Renó,Vivian Renó;Evlyn Márcia Leão de Moraes Novo;Maria Isabel Sobral Escada,2016,Forest Fragmentation in the Lower Amazon Floodplain: Implications for Biodiversity and Ecosystem Service Provision to Riverine Populations,Remote Sensing,article,https://doi.org/10.3390/rs8110886,https://doi.org/10.3390/rs8110886,OpenAlex
Hazlett_Broad_Gordon_etal_2008,Hazlett,Paul W. Hazlett;Ken Broad;Andrew B. Gordon;Paul K. Sibley;J. M. Buttle;D. Larmer,2008,The importance of catchment slope to soil water N and C concentrations in riparian zones: implications for riparian buffer width,Canadian Journal of Forest Research,article,https://doi.org/10.1139/x07-146,https://doi.org/10.1139/x07-146,OpenAlex
Potter_Conkling_2013,Potter,Kevin M. Potter;Barbara L. Conkling,2013,"Forest Health Monitoring: national status, trends, and analysis 2010",NA,report,https://doi.org/10.2737/srs-gtr-176,https://doi.org/10.2737/srs-gtr-176,OpenAlex
